0.0000000000 ESPRESSO
0.0302439998 ESPRESSO
0.1128659998 ESPRESSO
1.1388420002 ESPRESSO
2.0077510001 ESPRESSO
2.0829449999 ESPRESSO
3.0866239998 ESPRESSO
3.1162450002 ESPRESSO
4.1126700002 ESPRESSO
8.9976570001 ESPRESSO
11.0638859998 ESPRESSO
11.9805939998 ESPRESSO
15.9768810002 ESPRESSO
16.0334160002 ESPRESSO
21.9792570001 ESPRESSO
25.9443310001 ESPRESSO
26.0143010002 ESPRESSO
27.9684069999 ESPRESSO
28.9595539998 ESPRESSO
30.9533420000 ESPRESSO
31.9421359999 ESPRESSO
32.9453119999 ESPRESSO
32.9765619999 ESPRESSO
33.9384909999 ESPRESSO
34.9512939998 ESPRESSO
35.0247680000 ESPRESSO
37.9345419998 ESPRESSO
39.9830299998 ESPRESSO
40.0261400002 ESPRESSO
0.0000000000 HARPS
0.9675870002 HARPS
2.9929300002 HARPS
3.9941960000 HARPS
4.9906810001 HARPS
5.9851410002 HARPS
14.0726790000 HARPS
14.9809610001 HARPS
16.0692250002 HARPS
16.9569979999 HARPS
17.0490669999 HARPS
18.0181690003 HARPS
18.9728610003 HARPS
18.9950359999 HARPS
20.9565370004 HARPS
22.9581300002 HARPS
22.9807220004 HARPS
27.0156670003 HARPS
27.0380160003 HARPS
28.9680610001 HARPS
28.9900050000 HARPS
36.9794540000 HARPS
37.0015940000 HARPS
38.9199650004 HARPS
38.9419090003 HARPS
39.9652710003 HARPS
39.9869949999 HARPS
41.9333750000 HARPS
41.9550990001 HARPS
43.9764660001 HARPS
44.9195310003 HARPS
46.9629240003 HARPS
47.9561500000 HARPS
47.9778860002 HARPS
49.9340730002 HARPS
49.9561790000 HARPS
51.9436520003 HARPS
52.9320070003 HARPS
52.9554900001 HARPS
53.9643310001 HARPS
54.9262050004 HARPS
55.9200700000 HARPS
55.9427200002 HARPS
56.9359949999 HARPS
62.8953880002 HARPS
62.9169150000 HARPS
63.8961070003 HARPS
63.9182710000 HARPS
64.9059710000 HARPS
65.8923860001 HARPS
66.9152820003 HARPS
67.8952290001 HARPS
68.8934160001 HARPS
68.9159960002 HARPS
84.8723520003 HARPS
86.8761380003 HARPS
88.8733990001 HARPS
